label-coarse,label-fine,text
1,1,What films featured the character Popeye Doyle ?
2,3,What is the full form of .com ?
0,9,Why do heavier objects travel downhill faster ?
3,4,Who was The Pride of the Yankees ?
0,7,What is `` Nine Inch Nails '' ?
4,8,What is the date of Boxing Day ?
1,15,What 's the second-most-used vowel in English ?
3,4,Who was the inventor of silly putty ?
1,14,Name a golf course in Myrtle Beach .
2,3,What does the abbreviation AIDS stand for ?
5,11,What U.S. state lived under six flags ?
0,9,What are Cushman and Wakefield known for ?
1,14,What is Nebraska 's most valuable resource ?
0,12,What is the origin of head lice ?
0,7,What is the definition of a cascade ?
4,8,When did Rococo painting and architecture flourish ?
3,4,Which of the following was Rhodes Scholar ?
5,11,What U.S. state is Fort Knox in ?
5,24,Where is the highest point in Japan ?
5,14,What are the world 's four oceans ?
4,8,When did the Bounty mutiny take place ?
1,1,What is a film starring Jude Law ?
3,4,Who earns their money the hard way ?
3,4,Who founded the People 's Temple Commune ?
3,4,Who was the first American in space ?
4,8,What is the busiest air travel season ?
3,6,What is the occupation of Nicholas Cage ?
5,18,What country contains Africa 's northernmost point ?
0,7,What is Eagle 's syndrome styloid process ?
3,4,What explorer was nicknamed Iberia 's Pilot ?
3,5,Which company created the Internet browser Mosaic ?
4,13,How many species of sharks are there ?
0,7,What is the `` 7-minute cigarette '' ?
1,14,What four forms does gold occur in ?
1,31,What 's the slowest Olympic swimming stroke ?
0,7,What is the contents of proposition 98 ?
3,4,Who wrote NN DT NNP NNP '' ?
4,8,When did the Berlin Wall go up ?
5,21,What European city do Nicois live in ?
3,4,Who was President of Afghanistan in 1994 ?
4,13,How many people did Randy Craft kill ?
1,2,What 's the official animal of Canada ?
4,8,When did Spielberg direct `` Jaws '' ?
2,3,What does ` PSI ' stand for ?
5,21,What city did the Flintstones live in ?
1,23,What chemicals are used in lethal injection ?
3,5,Who has won the most Super Bowls ?
3,5,Who are the Challengers of the Unknown ?
4,13,How many Beatles ' records went #1 ?
1,23,What is the fear of cockroaches called ?
1,17,What crop failure caused the Irish Famine ?
1,14,What are the different types of plastic ?
5,24,What is the highest peak in Africa ?
1,14,What do bicornate animals have two of ?
0,9,What 's nature 's purpose for tornadoes ?
3,4,Who played the original Charlie 's Angels ?
3,4,Who wrote The Night of the Iguana ?
1,22,Where does your hair grow the fastest ?
3,12,Who is the `` Queen Mother '' ?
4,13,How many referees work a soccer game ?
4,8,When is the Tulip Festival in Michigan ?
3,4,Who was Randy Steven Craft 's lawyer ?
5,14,What was known as the Spice Island ?
5,21,McCarren Airport is located in what city ?
5,18,What country has the largest sheep population ?
1,14,What is Grenada 's main commodity export ?
1,14,What `` magic '' does Mandrake employ ?
3,4,Who is the president of Stanford University ?
4,8,When did CNN go on the air ?
4,13,How many wives did Brigham Young have ?
4,40,How long is the Coney Island boardwalk ?
1,2,What animal has killed the most people ?
5,24,Where do people mountain climb in Nepal ?
1,23,What is a fear of being alone ?
4,13,How many hearts does an octopus have ?
4,38,What percentage of the body is muscle ?
1,28,What is a golf ball made of ?
0,7,What is the `` coppertop '' battery ?
3,4,Who is the youngest of the Beatles ?
5,21,What Russian city boasts the Hermitage Museum ?
3,4,Who was the first Holy Roman Emperor ?
1,29,What sport do you shag flies in ?
4,8,When was the first American encyclopedia published ?
0,0,How is Easter Sunday 's date determined ?
3,4,Who is the worst US President ever ?
4,35,How fast does the fastest car go ?
5,14,Where is the Kentucky Horse Park located ?
5,14,Where are the tropical rain forest distributions ?
1,23,What is the fear of being loved ?
1,17,What type of food makes you fat ?
3,4,Whose autobiography is titled Yes I Can ?
4,38,What percentage of Americans own their homes ?
4,40,What is the wingspan of a condor ?
1,37,What are the two languages of Malta ?
0,7,What does the Latin ante mortem mean ?
1,1,What was Mel Gibson 's first movie ?
0,9,Why did the chicken cross the road ?
1,1,What was Connecticut 's first constitution called ?
4,8,When was `` the Great Depression '' ?
1,37,What language is mostly spoken in Brazil ?
1,23,What does a topophobic actor suffer from ?
0,9,What is Colin Powell best known for ?
1,26,Italy is the largest producer of what ?
1,44,What Italian liner was hijacked in 1985 ?
1,20,How do you say 2 in Latin ?
5,18,What is the smallest country in Africa ?
3,4,Who was Lauren Bacall 's first husband ?
5,11,What state does Martha Stewart live in ?
3,6,What was the occupation of Mandy Rice-Davies ?
0,12,What are the living conditions in Cuba ?
1,10,"What events happened January 26 , 1978 ?"
3,4,What explorers followed Columbus to the Americas ?
4,8,What year did the Vietnam War end ?
1,17,Which soft drink does Madonna advertise for ?
4,8,When was Berlin 's Brandenburg gate erected ?
4,13,How many CDs has Garth Brooks sold ?
5,14,What 's the sacred river of India ?
5,18,What is Stefan Edberg 's native country ?
5,18,Name the largest country in South America .
5,11,What U.S. state records the least rainfall ?
1,28,What are the chemicals used in glowsticks ?
5,18,What two countries share the Khyber Pass ?
3,4,Who is the voice of Miss Piggy ?
0,7,What is the definition of low island ?
4,8,What century does Captain Video live in ?
1,14,What types of water pollution are there ?
5,11,What is the state nickname of Mississippi ?
1,33,What musical instrument did Sherlock Holmes play ?
3,4,Who was Gerald Ford 's vice president ?
0,7,What is `` the washed vodka '' ?
1,1,What British TV series featured Emma Peel ?
1,14,What format was VHS 's main competition ?
0,0,How do I find out about jobs ?
4,14,What is the chemical reactivity of argon ?
1,23,What is a fear of being cold ?
4,13,How many James Bond novels are there ?
0,0,How do you get rid on woodpeckers ?
3,4,Who was the famous door-to-door brush salesman ?
0,7,What is the executor in a will ?
1,17,What soft drink is most heavily caffeinated ?
3,4,Who sought to create The Great Society ?
4,40,What are the lengths of pearl necklaces ?
5,21,What Colorado city owns its own glacier ?
3,4,Who is the current UN Secretary General ?
1,30,What flower did Vincent Van Gogh paint ?
4,13,How many calories are in a tomato ?
5,14,On which Hawaiian island is Pearl Harbor ?
5,21,What city is wiener schnitzel named for ?
5,14,What desert has the highest sand dunes ?
5,18,What two countries contain Sierra Nevada mountains ?
4,8,"What day is August 13 , 1971 ?"
1,1,What is Beethoven 's 9th symphony called ?
5,14,What is the Homelite Inc. home page ?
1,23,What cancer is commonly associated with AIDS ?
3,4,Who lives at 39 Stone Canyon Way ?
4,13,How many questions are on this thing ?
1,14,What did The Gas House Gang play ?
3,4,Who was the inventor of the stove ?
4,8,Boxing Day is celebrated on what date ?
1,1,What are the first ten amendements passed ?
0,0,How do I install a tile floor ?
5,24,What is the world 's highest peak ?
3,4,Who sang about Desmond and Molly Jones ?
1,26,What is the brand name of daminozide ?
1,20,What is the former name of Zimbabwe ?
5,18,What country is Kosovo a part of ?
5,14,What is Bill Gross 's email address ?
4,25,How much does the President get paid ?
5,14,Name an art gallery in New York .
5,14,What building are British monarchs crowned in ?
1,2,What kind of creature is a coot ?
3,5,What university was Woodrow Wilson President of ?
4,39,What is Columbia Tristar 's phone number ?
5,21,What is the capital of Burkina Faso ?
5,11,What U.S. state has the most blondes ?
5,14,What is the tallest building in Japan ?
1,15,What letter adorns the flag of Rwanda ?
5,18,What country 's northernmost city is Darwin ?
5,11,What U.S. state is Dixville Notch in ?
0,7,What is a ` borrow pit ' ?
0,12,What is the origin of the atom ?
5,14,What 's the home of the Rockettes ?
3,4,What singer sings `` Oh Boy '' ?
5,11,What U.S. state has the second-longest coastline ?
3,4,What count did Alexandre Dumas write about ?
4,40,How far is London UK from California ?
4,13,How many years old is Benny Carter ?
5,21,Which city in Canada is the least-populated ?
3,5,What is the first personal computer company ?
0,7,What is the theory of equivalence states ?
3,4,Who was the architect of Central Park ?
1,26,Which operating system runs on IBM-compatible machines ?
5,18,What African country is governed from Ouagadougou ?
3,5,Who were the Yankee 's frequent enemies ?
4,38,What is the chance of conceiving quadruplets ?
1,31,What basketball maneuver did Bert Loomis invent ?
1,14,What do camels store in their humps ?
0,7,What is commonly considered the fifth sense ?
1,20,What was another name for East Germany ?
1,1,What 's the second-biggest-selling magazine in America ?
0,7,What are a baseball team 's firemen ?
1,23,What is chronic constipation a symptom of ?
1,14,What did the Yalta Conference lead to ?
1,2,What dog was dubbed The Mortgage Lifter ?
0,0,How can someone become a federal agent ?
1,2,What kind of dog is Scooby Doo ?
0,9,What is the function of the appendix ?
5,11,What U.S. state ends with a G ?
4,13,How many varieties of twins are there ?
4,13,How many people live in the Falklands ?
0,7,What is the largest variety of cactus ?
1,14,What type of performer is Ileana Cotrubas ?
1,17,What do chefs call The Master Spice ?
2,34,What is the abbreviation of General Motors ?
4,27,How long was the longest hiccup attack ?
1,14,A corgi is a kind of what ?
4,8,When was the first flush toilet invented ?
0,0,How do I write to my Congressman ?
1,1,What was the first Sam Spade novel ?
1,23,What is a fear of strong light ?
1,10,What war did the Potsdam Conference follow ?
5,14,What 's the world 's largest cathedral ?
1,29,What sport features snatches and clean jerks ?
3,5,What culture developed the idea of potlatch ?
3,5,What baseball team became the Minnesota Twins ?
4,13,How many meters are in a mile ?
4,13,How many milligrams are in a gram ?
3,4,What is Michael Jackson 's middle name ?
0,7,What does `` Semper Fidelis '' mean ?
0,9,Why does a candle need a wick ?
3,4,Which NBA players had jersey number 0 ?
1,20,Aspartame is known by what other name ?
4,8,What season begins with the vernal equinox ?
5,14,What is George Lucas 's e-mail address ?
0,0,How do I give a good massage ?
3,4,Who is the father of the computer ?
0,7,What are manifest and latent function theories ?
1,42,What is the chemical symbol for nitrogen ?
4,40,How long were Tyrannosaurus Rex 's teeth ?
5,11,What four U.S. states have active volcanoes ?
0,12,What is the secret of the universe ?
0,0,How do I sing like Elvis Presley ?
1,20,What do the French call La Manche ?
0,0,How do you clean up a cache ?
1,23,What is a fear of being dirty ?
0,9,What causes canker sores in the mouth ?
5,18,What countries have the best math students ?
4,8,When was the De Beers company founded ?
4,8,What is the date of Bastille Day ?
0,0,How do you address a Chinese person ?
4,39,What is Columbia Tristar 's phone number ?
1,14,What determines the value of the pearl ?
1,14,What are emblazoned on the Jolly Roger ?
5,21,The Orange Bowl is in what city ?
3,4,What comedian was born Allen Stewart Konigsberg ?
5,11,What state was Herbert Hoover born in ?
3,4,Who runs Andy Capp 's favorite pub ?
1,37,What 's the official language of Algeria ?
5,18,What was the nationality of Jackson Pollock ?
1,2,What are the snakes of New England ?
5,14,Where can I get U.S. economic statistics ?
4,13,How many Superbowls have the ers won ?
1,31,What is the formula to calculate pi ?
3,4,What is Drew Barrymore 's middle name ?
0,0,How do you write a book report ?
4,13,How many films did Ingmar Bergman make ?
5,14,What is Drew Barrymore 's email address ?
0,7,What does storm wave mean in Japanese ?
0,0,How can I trace my family roots ?
4,13,How many different vegetation zones are there ?
1,1,What book does Holden Caulfield appear in ?
4,8,When was the Bill of Rights ratified ?
5,14,What California desert is dubbed High Desert ?
5,14,Where do the Blackhawks maintain their operations ?
0,9,Why are the rooftops in Canada green ?
5,14,What 's the nearest star to Earth ?
1,20,What does El Nino mean in spanish ?
3,5,What business exports the sparkling wine Spumante ?
5,14,Where is the Valley of the Kings ?
5,14,Where did the sport of caber-tossing originate ?
4,13,How much salt is in the oceans ?
0,12,Where does `` bovine '' come from ?
4,13,How many wings does a flea have ?
5,14,Which area produces the least acidic coffee ?
5,14,What are Britain 's two longest rivers ?
5,14,What Caribbean island is northeast of Trinidad ?
4,8,When did Gothic art and architecture flourish ?
0,0,How do you convert foot-pounds to foot-inches ?
1,14,What were the achievements of Richard Nixon ?
4,8,In what year did Thatcher gain power ?
5,14,Where can I learn about Samuel Gompers ?
3,4,What jockey won 17 Triple Crown races ?
5,11,What state is Niagara Falls located in ?
1,14,What tools do you use to crewel ?
4,8,What date is Richard Nixon 's birthday ?
4,13,How many grooves are on a dime ?
3,4,What was Marilyn Monroe 's real name ?
0,0,How does marijuana lead to other drugs ?
5,14,What do most tourists visit in Reims ?
0,0,How do you pronounce `` Tzimisce '' ?
4,8,What year was the ATM first introduced ?
0,9,Why do the chickenpoxs last so long ?
5,14,Where did Bill Gates go to college ?
3,5,What U.S. university boasts the largest library ?
0,12,What do Japanese school uniforms look like ?
4,8,When was the internal combustion engine developed ?
0,0,How can I find out my biorhythm ?
0,9,Why are organ transplants more successful today ?
0,12,What is the root of all evil ?
4,13,How many varieties of apple are there ?
3,4,Who wrote The Red Badge of Courage ?
4,14,What is the chemical reactivity of helium ?
2,34,What 's the abbreviation for limited partnership ?
4,13,How many corners does a spritsail have ?
0,7,"What does caliente mean , in English ?"
0,12,What is so powerful about Power Bars ?
1,36,What English word has the most letters ?
1,17,What 's the main vegetable in vichyssoise ?
4,8,When do MORMONS believe Christ was born ?
2,3,What does the abbreviation IOC stand for ?
5,18,What country has the port of Haifa ?
1,28,What is the main ingredient of yogurt ?
1,17,What is the recipe for Eggs Benedict ?
1,17,Which is heavier - cream or milk ?
0,0,How do you handle a hungry man ?
5,14,What is the principal river of Ireland ?
0,7,What else has the swastika stood for ?
4,13,How many people have been Captain America ?
1,22,Where is the human skin least sensitive ?
5,14,What are all the rivers in Europe ?
0,0,How do you box train a cat ?
0,0,How was Teddy Roosevelt related to FDR ?
5,21,What is the largest city in Germany ?
1,2,What kinds of animals are in Cambodia ?
5,14,Where are the headquarters of Eli Lilly ?
3,4,Who was the president of Vichy France ?
4,13,How many seats does the Batmobile sport ?
1,20,What does caliente translate to in English ?
4,40,How far can a human eye see ?
0,12,What are differences between 1980 and 1990 ?
1,19,What color is Mr. Spock 's blood ?
0,9,Why did the Globe Theatre burn down ?
0,7,What is meant by blood SED rate ?
0,12,What is the origin of gametophytic tissue ?
1,14,What did the Congress of Vienna establish ?
1,28,What harmful chemicals are in bug spray ?
5,14,Where did George of the Jungle live ?
4,38,What percentage of American men are alcoholic ?
3,4,Who was Bonnie Blue Butler 's father ?
5,18,Which Latin American country is the largest ?
1,1,What film dramatized the Scopes monkey trial ?
1,26,What operating system do IBM-compatible machines use ?
3,4,Who is the prime minister of Japan ?
3,4,What are Arnold Palmer 's fans called ?
3,4,Who was the first king of England ?
4,32,How big is our galaxy in diameter ?
3,4,With whom did Bush compare Saddam Hussein ?
4,13,How many years did Sleeping Beauty sleep ?
0,0,How do you throw a housewarming party ?
1,29,What international sport was originally called hurley ?
5,18,What country was Hitler the chancellor of ?
3,4,What is Rona Barrett 's married name ?
4,13,How many years make up a lustrum ?
3,5,What company sells the most greeting cards ?
5,18,What nationality is Pope John Paul II ?
5,14,Where is the Bulls basketball team based ?
0,12,What are some chemical properties of mendelevium ?
0,0,How does salt melt ice and snow ?
0,7,What is Butterfield 8 in Butterfield 8 ?
3,4,Who turned all he touched to gold ?
5,18,What country did the Romans call Hibernia ?
5,14,Where did Victor Hugo spend his exile ?
1,2,What kind of fish is a coney ?
5,11,What state did Helen Keller call home ?
5,18,What country 's royal house is Bourbon-Parma ?
0,7,What is the `` Global Economy '' ?
3,4,Who was Hitler 's minister of propaganda ?
5,14,Where can you find the Venus flytrap ?
0,0,How do you stop junk snail mail ?
3,4,Who were leaders of the Byzantine empire ?
1,1,What movie has made the most money ?
4,13,How many cities are there in Utah ?
5,14,What is the best online games site ?
4,13,How many bytes are in a terabyte ?
5,18,What country 's flag is field green ?
4,8,What year was the first automobile manufactured ?
5,14,Where can I read about Chiang Kai-shek ?
3,5,"What college enlivens Hanover , New Hampshire ?"
1,1,Name a novel written by John Steinbeck .
5,14,Where can I find lyrics for R&B ?
4,13,How many liberty bells have there been ?
1,2,What animal do buffalo wings come from ?
2,3,What does the channel ESPN stand for ?
5,21,What city is served by Tempelhol Airport ?
3,4,Who directed the first Woody Woodpecker cartoon ?
4,25,What is the price for tuberculosis drugs ?
3,4,Name of heroine in `` Scruples '' ?
4,13,How many meters are in a mile ?
5,18,What country borders Denmark to the south ?
5,21,What city was Bobby Kennedy assassinated in ?
0,7,What is the medical condition of hypertension ?
5,21,What city is served by McCarren Airport ?
1,17,What two vegetables are combined in succotash ?
3,4,Who is the Incredible Hulk in reality ?
4,8,What month did the Edmund Fitzgerald sink ?
0,7,What is a pig in a poke ?
5,14,Where were the 196 Summer Olympics held ?
5,18,Name the country which Honecker lived in .
3,4,What TV detective did Craig Stevens play ?
3,4,Who played Emperor Palpatine in Star Wars ?
1,17,What four tastes can a human distinguish ?
4,13,How many Stradivarius violins were ever made ?
3,4,Who invented the stock ticker in 1870 ?
5,24,What is New England 's highest mountain ?
4,13,How many verses are in the Bible ?
5,18,In what nation is Edessa located nowadays ?
0,7,What is the VDRL test of blood ?
5,14,What man-made waterways is 1.76 miles long ?
3,4,Who liberated 19th century Sicily and Naples ?
4,8,When did Mount St. Helens last erupt ?
5,14,What 's the longest river in Canada ?
0,0,How do you do a topic outline ?
4,13,How many millimeters are in a mile ?
4,32,How big is a baby bald eagle ?
3,4,Who founded the modern theory of probability ?
4,13,How many people did Randy Craft murder ?
0,7,What does the term glory hole mean ?
3,4,Who won the 1968 California Democratic primary ?
0,12,What do insects do through their spiracles ?
0,12,What is the origin of Boxing Day ?
3,4,Who is Malaysia 's 43rd prime minister ?
5,14,What is the location of McCarren Airport ?
2,3,What does the abbreviation OAS stand for ?
3,5,What 's Japan 's largest car manufacturer ?
3,5,Rotary engines were manufactured by which company ?
3,4,Who invented the pull-tab opener on cans ?
0,0,How do you clean badly tarnished brass ?
0,7,What is capitalism according to Max Weber ?
5,18,What country has the highest arson rate ?
1,31,What do sailors use to measure time ?
1,14,What is Bella Abzug 's sartorial trademark ?
5,18,What countries have the most auto thefts ?
3,4,Who accompanied Space Ghost on his missions ?
0,0,How can I get a CCT diagram ?
3,4,Who was Israel 's first prime minister ?
0,0,How do you do a bibliography page ?
3,6,What occupation has the highest divorce rate ?
0,12,Where did the term fireplug come from ?
4,13,How many elephants are left on earth ?
0,12,What are the benefits of home school ?
4,27,How long was the OJ Simpson trial ?
5,18,What country lies directly south of Detroit ?
0,0,How do companies cut paper so thin ?
1,36,What 's the Hungarian word for pepper ?
0,12,What does Lloyd 's Lutine Bell announce ?
4,8,When did the Chernobyl nuclear accident occur ?
0,7,What is `` cat scratch fever '' ?
5,11,Kosovo is a province of what country ?
1,28,What is the Taj Majal made of ?
1,14,What does a farrier put shoes on ?
3,4,What is Jimmy Olsen 's full name ?
4,13,How many people have died of tuberculosis ?
0,7,What is the definition of a witch ?
3,4,What feminist wrote Sexual Politics and Flying ?
4,13,How much iron is in your body ?
5,14,What are some good fractal web sites ?
1,1,What sports magazine has the largest circulation ?
3,6,What title does comedian Henry Youngman claim ?
4,40,How high is the city of Denver ?
4,8,When was Florida admitted into the Union ?
5,14,Where can I read about Abraham Lincoln ?
1,1,What is the movie Jonathan Livingstone Seagull ?
3,4,Who is the prime minister in Norway ?
3,4,Who won the rugby world cup in ?
4,13,How many pins are used in skittles ?
0,12,What is the history of the hairdryer ?
4,13,How many types of lemurs are there ?
0,0,How do you make a million bucks ?
5,21,What is the largest city in Connecticut ?
4,8,When did the American Civil War end ?
5,18,What country is the largest diamond producer ?
4,8,When did the supercontinent Pangaea break up ?
1,2,What kind of mammal is a colt ?
0,9,Colin Powell is most famous for what ?
0,7,What is a `` False Moon '' ?
4,27,How long was the longest sneezing attack ?
1,23,What are the 10 plagues of Egypt ?
0,7,What is a `` repeating voter '' ?
5,14,What ocean did the Titanic sink in ?
4,8,In what year was the Wall built ?
0,9,Why do pharmacists work on raised floors ?
1,28,What kind of substance is dextropropoxyphen napsylate ?
1,1,What was Mae West 's last film ?
1,36,What English word contains the most letters ?
0,0,How does James Bond like his martinis ?
4,13,How many sides does an obelisk have ?
4,8,In what year was the cannon invented ?
4,13,How many languages does the Pope speak ?
1,19,What color were Ernest Hemingway 's eyes ?
3,4,Who was the first woman in space ?
3,4,Who does the voices of the Simpsons ?
4,14,What is the chemical reactivity of neon ?
5,14,Where did the real St. Nicholas live ?
4,13,How many eyes does a bat have ?
1,20,How do you say 2 in Latin ?
5,14,Where did Dikembe Mutombo go to college ?
5,14,What is Mark McGwire 's e-mail address ?
4,8,What geological time do we live in ?
5,14,Where is Microsoft 's corporate headquarters located ?
4,8,When was China 's first nuclear test ?
0,0,How do I find a snowboarding website ?
1,14,What class is categorized as the bourgeoisie ?
0,7,What is the `` fourth dimension '' ?
5,14,What is the Homelite Inc. home page ?
3,5,What are the four railways in Monopoly ?
1,23,What is a fear of black people ?
5,14,What is the greatest hiking Web site ?
0,0,How is ` qigong ' properly pronounced ?
5,21,What is the largest city in Texas ?
4,13,How many teaspoons make up a tablespoon ?
3,4,Who was the lawyer for Randy Craft ?
1,22,What organ contains the islands of Langerhans ?
3,4,Who gave King Arthur the round table ?
0,0,How do you make a computer chip ?
3,4,Who wrote `` The Scarlet Letter '' ?
3,4,What was Darth Vader 's son named ?
4,13,How many Beanie Baby sites are there ?
3,4,Who makes the `` cross-your-heart bra '' ?
5,11,What U.S. state boasts Leif Ericson Park ?
5,18,What two countries is Andorra nestled between ?
5,14,What is the Homelite Inc. home page ?
0,0,How does color affect a person psychologically ?
4,39,What is Columbia Tristar 's phone number ?
1,28,What alloy do copper and tin form ?
1,30,What plants are found in an estuary ?
0,12,What are the side effects of mevacor ?
4,8,When did the last Americans leave Vietnam ?
5,14,What is the habitat of the chickadee ?
1,14,Which of the five senses develops first ?
1,2,Who was the first animal into space ?
0,9,Why is Rush 's 2112 called 2112 ?
0,12,What 's the state motto of California ?
5,18,What country does Ileana Cotrubas come from ?
0,7,What 's a male `` cuckquean '' ?
0,9,Why are ice cream sundaes called sundaes ?
1,1,What was the first video ever made ?
1,17,What 's the favorite food of dragonflies ?
3,4,What king boycotted Prince Charles 's wedding ?
5,14,What famed wall supports the Badaling turret ?
1,2,Who were John F. Kennedy 's dogs ?
4,40,How tall was the animated King Kong ?
4,13,How many events make up the decathlon ?
1,14,What does a chef coddle eggs in ?
4,25,What was the minimum wage in 1991 ?
3,4,Who bestowed great power upon Captain Britain ?
1,2,What is the West Virginia state animal ?
4,8,What year did Montana become a state ?
5,21,What Japanese city was once called Edo ?
3,4,Who did the Seven Mules block for ?
5,14,Where is one 's corpus callosum found ?
3,4,Name of heroine in `` Scruples '' ?
0,9,What is the cause of endangered species ?
3,4,What were Babe Ruth 's Christian names ?
3,4,What is Alice Cooper 's real name ?
1,1,What was Jimmy Durante 's theme song ?
4,13,How many muscles does an oyster have ?
1,36,What is the collective noun for geese ?
1,14,What 's the highest-ranking suit in bridge ?
1,29,What non-mechanical sport achieves the highest speeds ?
0,9,What caused the death of Bob Marley ?
4,14,What is the chemical reactivity of neon ?
0,9,Why do airliners crash vs. gliding down ?
3,4,What attorney-general ordered the closing of Alcatraz ?
5,18,What countries earn the most from tourism ?
1,44,What ship did Lloyd M. Bucher command ?
1,14,What do humans catch zoonose diseases from ?
3,4,Who 's the only president buried in Washington
4,25,How much do tuberculosis combatting drugs cost ?
3,4,President Bush compared Saddam Hussein to whom ?
2,34,What is Mikhail Gorbachev 's middle initial ?
1,42,What is the chemical formula for napalm ?
1,20,What are the Cleveland Indians also called ?
0,7,What is a person 's socioeconomic position ?
4,13,How many yards are in 1 mile ?
3,4,Name the Four Horsemen of the Apocalypse .
3,5,What is a society ruled by elders ?
1,44,Name the ship Beany and Cecil sailed .
0,12,Where did the marriage ceremony come from ?
1,20,The Jewish alphabet is known as what ?
1,23,What is a fear of home surroundings ?
4,13,How many people die of tuberculosis yearly ?
0,0,How did water appear on the earth ?
3,4,What is the most popular last name ?
3,4,Who moderated the first Kennedy-Nixon TV debate ?
0,9,What is the S&P 500 used for ?
0,7,What is the English meaning of caliente ?
0,0,How can you become an FBI agent ?
4,13,How many sides does a heptagon have ?
5,14,Where were the 1936 Summer Olympics held ?
5,14,What cathedral was Thomas Becket murdered in ?
3,5,What store does Martha Stewart advertise for ?
5,14,Where in a tree does photosynthesis occur ?
1,17,What was the first ready-to-eat breakfast cereal ?
3,4,Which presidents of the USA were Masons ?
1,31,What are the five basic swimming strokes ?
4,13,How many blacks served in the Vietnam War
3,5,What is Pittsburgh 's baseball team called ?
0,7,What was the Long March in China ?
5,14,Where is the group M People from ?
5,18,What country is famous for Persian rugs ?
1,10,"What happened on January 15 , 1969 ?"
1,16,What Caribbean cult did Marcus Garvey originate ?
1,30,What is the most widely cultivated plant ?
3,5,What police force did Mack Sennett create ?
3,4,What is Dr. Ruth 's last name ?
4,8,When did French revolutionaries storm the Bastille ?
3,4,Who used AuH2O as an election slogan ?
4,13,How many cullions does a male have ?
3,4,Who played Lucas McCain on The Rifleman ?
3,4,Who is the prime minister of Australia ?
5,14,What does the River Seine empty into ?
5,11,What two states is Washington D.C. between ?
4,8,When did the art of quilting begin ?
4,25,How much did the Iran-Contra investigation cost ?
0,7,What does the double-O indicate in 007 ?
4,8,When did communist control end in Hungary ?
0,0,How do you make the color purple ?
1,29,What sport do the Cleaveland Cavaliers play ?
3,4,What English explorer discovered and named Virginia ?
5,18,What country is home to Heineken beer ?
